Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,2531.0,2555.0,2515.800048828125,2542.699951171875,2542.699951171875,914818
2021-01-04,2591.0,2670.0,2580.0,2655.699951171875,2655.699951171875,3287511
2021-01-05,2630.0,2685.0,2616.0,2674.89990234375,2674.89990234375,1494362
2021-01-06,2668.0,2672.0,2610.0,2645.35009765625,2645.35009765625,949386
2021-01-07,2660.0,2715.64990234375,2640.75,2649.800048828125,2649.800048828125,1250528
2021-01-08,2661.0,2771.300048828125,2661.0,2760.85009765625,2760.85009765625,2585123
2021-01-11,2767.0,2808.64990234375,2726.699951171875,2777.14990234375,2777.14990234375,1616318
2021-01-12,2777.199951171875,2949.0,2777.199951171875,2881.64990234375,2881.64990234375,4829997
2021-01-13,2869.5,2910.39990234375,2836.64990234375,2868.64990234375,2868.64990234375,1878124
2021-01-14,2880.0,2906.949951171875,2841.0,2886.60009765625,2886.60009765625,1159961
2021-01-15,2880.0,2902.0,2840.0,2857.300048828125,2857.300048828125,882692
2021-01-18,2853.14990234375,2912.699951171875,2815.0,2873.0,2873.0,2069601
2021-01-19,2888.0,2929.0,2852.14990234375,2883.5,2883.5,1447495
2021-01-20,2887.199951171875,2964.0,2865.64990234375,2881.550048828125,2881.550048828125,1760329
2021-01-21,2896.0,2955.0,2895.050048828125,2926.60009765625,2926.60009765625,1451173
2021-01-22,2900.0,3037.0,2900.0,2972.60009765625,2972.60009765625,3091826
2021-01-25,3029.949951171875,3029.949951171875,2851.25,2869.550048828125,2869.550048828125,2024082
2021-01-27,2899.949951171875,2932.39990234375,2769.5,2789.89990234375,2789.89990234375,2574644
2021-01-28,2780.0,2830.0,2738.35009765625,2798.449951171875,2798.449951171875,1430646
2021-01-29,2812.39990234375,2870.449951171875,2726.949951171875,2744.300048828125,2744.300048828125,2067268
2021-02-01,2777.0,2868.050048828125,2698.550048828125,2842.85009765625,2842.85009765625,1847361
2021-02-02,2920.0,2920.0,2825.949951171875,2904.85009765625,2904.85009765625,2125895
2021-02-03,2904.85009765625,2948.0,2871.5,2916.89990234375,2916.89990234375,1349528
2021-02-04,2900.89990234375,2978.0,2881.0,2963.449951171875,2963.449951171875,1259327
2021-02-05,2973.199951171875,2990.0,2905.199951171875,2932.14990234375,2932.14990234375,915838
2021-02-08,2934.0,2986.0,2930.10009765625,2970.39990234375,2970.39990234375,654484
2021-02-09,2993.300048828125,3018.0,2936.050048828125,2947.64990234375,2947.64990234375,1127584
2021-02-10,2968.0,2998.89990234375,2876.75,2901.300048828125,2901.300048828125,2160932
2021-02-11,2750.0,2840.800048828125,2701.300048828125,2818.14990234375,2818.14990234375,4481414
2021-02-12,2840.0,2844.949951171875,2765.050048828125,2781.25,2781.25,1907486
2021-02-15,2796.0,2809.0,2758.0,2770.050048828125,2770.050048828125,930514
2021-02-16,2770.050048828125,2778.14990234375,2692.449951171875,2726.949951171875,2726.949951171875,1525475
2021-02-17,2720.0,2745.0,2685.0,2695.5,2695.5,1491311
2021-02-18,2701.10009765625,2712.85009765625,2625.0,2650.199951171875,2650.199951171875,1924724
2021-02-19,2646.0,2647.89990234375,2570.0,2584.64990234375,2584.64990234375,1588781
2021-02-22,2586.10009765625,2590.0,2450.0,2482.35009765625,2482.35009765625,2189183
2021-02-23,2476.199951171875,2549.800048828125,2456.85009765625,2514.699951171875,2514.699951171875,1821712
2021-02-24,2530.050048828125,2562.85009765625,2500.0,2535.800048828125,2535.800048828125,807585
2021-02-25,2555.0,2558.949951171875,2517.0,2551.949951171875,2551.949951171875,1351820
2021-02-26,2529.699951171875,2546.949951171875,2463.64990234375,2498.60009765625,2498.60009765625,1695786
2021-03-01,2523.0,2568.89990234375,2497.14990234375,2556.14990234375,2556.14990234375,1283153
2021-03-02,2584.0,2611.0,2530.0,2602.300048828125,2602.300048828125,1491743
2021-03-03,2605.800048828125,2626.85009765625,2571.10009765625,2599.050048828125,2599.050048828125,1289447
2021-03-04,2570.0,2633.0,2545.35009765625,2593.199951171875,2593.199951171875,1353079
2021-03-05,2584.800048828125,2634.199951171875,2560.0,2587.75,2587.75,1153319
2021-03-08,2600.64990234375,2643.5,2575.0,2583.25,2583.25,950809
2021-03-09,2600.0,2618.300048828125,2573.0,2592.699951171875,2592.699951171875,677915
2021-03-10,2600.0,2687.0,2598.89990234375,2672.300048828125,2672.300048828125,1977416
2021-03-12,2699.0,2699.0,2610.10009765625,2637.5,2637.5,1109504
